x,det_symbolic,det_numeric,abs_error
0.5545454545454546,2.017130940509528,2.0171309405095283,4.440892098500626e-16
0.5727272727272726,2.091644430025271,2.091644430025271,0.0
0.5909090909090907,2.169442831773785,2.169442831773785,0.0
0.609090909090909,2.2506100744484665,2.250610074448466,4.440892098500626e-16
0.6272727272727271,2.3352327095143766,2.3352327095143766,0.0
0.6454545454545454,2.4233999112082505,2.4233999112082505,0.0
0.6636363636363635,2.515203476538487,2.515203476538487,0.0
0.6818181818181818,2.610737825285158,2.610737825285158,0.0
0.6999999999999998,2.7100999999999993,2.7100999999999993,0.0
0.7181818181818181,2.81338966600642,2.81338966600642,0.0
0.7363636363636362,2.9207091113994936,2.9207091113994936,0.0
0.7545454545454545,3.0321632470459665,3.0321632470459665,0.0
0.7727272727272726,3.147859606584249,3.147859606584249,0.0
